State,Square Miles (Land Area),Population
Alabama,50750,"4,849,000 (23rd)"
Alaska,570641,"737,000 (49th)"
Arizona,113642,"6,731,000 (15th)"
Arkansas,52075,"2,966,000 (33rd)"
California,155973,"38,803,000 (1st)"
Colorado,103730,"5,356,000 (22nd)"
Connecticut,4845,"3,597,000 (29th)"
Delaware,1955,"936,000 (46th)"
Florida,53997,"19,893,000 (3rd)"
Georgia,57919,"10,097,000 (8th)"
Hawaii,6423,"1,420,000 (41st)"
Idaho,82751,"1,634,000 (40th)"
Illinois,55593,"12,881,000 (5th)"
Indiana,35870,"6,597,000 (16th)"
Iowa,55875,"3,107,000 (31st)"
Kansas,81823,"2,904,000 (35th)"
Kentucky,39732,"4,413,000 (26th)"
Louisiana,43566,"4,650,000 (25th)"
Maine,30865,"1,330,000 (42nd)"
Maryland,9775,"5,976,000 (19th)"
Massachusetts,7838,"6,745,000 (14th)"
Michigan,56539,"9,910,000 (10th)"
Minnesota,79617,"5,457,000 (21st)"
Mississippi,46914,"2,994,000 (32nd)"
Missouri,68898,"6,064,000 (18th)"
Montana,145556,"1,024,000 (45th)"
Nebraska,76878,"1,882,000 (38th)"
Nevada,109806,"2,839,000 (36th)"
New Hampshire,8969,"1,327,000 (43rd)"
New Jersey,7419,"8,938,000 (11th)"
New Mexico,121365,"2,086,000 (37th)"
New York,47224,"19,746,000 (4th)"
North Carolina,48718,"9,944,000 (9th)"
North Dakota,68994,"739,000 (48th)"
Ohio,40953,"11,594,000 (7th)"
Oklahoma,68679,"3,878,000 (28th)"
Oregon,96003,"3,970,000 (27th)"
Pennsylvania,44820,"12,787,000 (6th)"
Rhode Island,1034,"1,055,000 (44th)"
South Carolina,30111,"4,832,000 (24th)"
South Dakota,75898,"853,000 (47th)"
Tennessee,41220,"6,549,000 (17th)"
Texas,261914,"26,957,000 (2nd)"
Utah,82168,"2,943,000 (34th)"
Vermont,9249,"627,000 (51st)"
Virginia,39598,"8,326,000 (12th)"
Washington,66582,"7,062,000 (13th)"
West Virginia,24087,"1,850,000 (39th)"
Wisconsin,54314,"5,758,000 (20th)"
Wyoming,97105,"584,000 (52nd)"
